city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kveda Sakara,42.1256,43.0311,Georgia,GE,Imereti,,1989,1989
Mestia,43.0456,42.7297,Georgia,GE,Samegrelo-Zemo Svaneti,minor,1973,1973
Kharagauli,42.0167,43.2000,Georgia,GE,Imereti,minor,1965,1965
Kisiskhevi,41.8978,45.5436,Georgia,GE,K’akheti,,1916,1916
Chokhatauri,42.0189,42.2394,Georgia,GE,Guria,minor,1815,903
Akhaldaba,41.9303,43.4864,Georgia,GE,Samtskhe-Javakheti,,1800,1800
Kulashi,42.2042,42.3456,Georgia,GE,Imereti,,1702,1702
Kvishkheti,41.9694,43.5014,Georgia,GE,Shida Kartli,,1699,1699
Pshaveli,42.0923,45.4411,Georgia,GE,K’akheti,,1624,1624
Puti,42.0717,43.0947,Georgia,GE,Imereti,,1564,1564
Vartsikhe,42.1439,42.7178,Georgia,GE,Imereti,,1559,1559
Azizkendi,41.4225,44.9453,Georgia,GE,Kvemo Kartli,,1536,1536
Khrialeti,42.0061,41.8303,Georgia,GE,Guria,,1533,1533
Akhali Atoni,43.0917,40.8000,Georgia,GE,Abkhazia,,1518,1518
Zovreti,42.1833,43.0408,Georgia,GE,Imereti,,1513,1513
Meria,41.9436,41.8936,Georgia,GE,Guria,,1494,1494
Sighnaghi,41.6186,45.9217,Georgia,GE,K’akheti,,1485,1485
Godogani,42.2594,42.7817,Georgia,GE,Imereti,,1462,1462
Chorvila,42.2892,43.4144,Georgia,GE,Imereti,,1451,1451
Kvemo Sarali,41.3411,44.8297,Georgia,GE,Kvemo Kartli,,1370,1370
Ganarjiis Mukhuri,42.4253,41.6283,Georgia,GE,Abkhazia,,1354,1354
Zeda Simoneti,42.2319,42.9208,Georgia,GE,Imereti,,1349,1349
Anaklia,42.3936,41.5692,Georgia,GE,Samegrelo-Zemo Svaneti,,1331,1331
Shemokmedi,41.9086,42.0683,Georgia,GE,Guria,,1322,1322
Tsageri,42.6472,42.7700,Georgia,GE,Rach’a-Lechkhumi da Kvemo Svaneti,minor,1320,1320
Shorapani,42.0956,43.0819,Georgia,GE,Imereti,,1258,1258
Gvishtibi,42.3114,42.5708,Georgia,GE,Imereti,,1249,1249
